       137      0.00   2770.00 ch4      total
   1400.00  6.80e-19
   1410.00  3.60e-19
   1420.00  1.60e-19
   1430.00  7.80e-20
   1440.00  2.20e-20
   1450.00  8.00e-21
   1460.00  2.80e-21
   1470.00  7.90e-22
   1480.00  2.80e-22
   1490.00  8.60e-23
   1500.00  3.80e-23
   1510.00  2.30e-23
   1520.00  1.60e-23
   1530.00  1.20e-23
   1540.00  9.20e-24
   1550.00  8.10e-24
   1560.00  7.40e-24
   1570.00  7.10e-24
   1580.00  6.80e-24
   1590.00  6.40e-24
   1600.00  6.00e-24
   1850.00  4.00e-24
   2100.00  1.00e-25
   2373.00  3.00e-26
   2770.00  1.00e-28
  8
        28      0.00   2373.00 ch4      sch2dh2  51 26
 lambda=773.a-1513.a  ditchburn, r. w. (1955)
    proc. roy. soc. london 229a, 44
 lambda=951.9a-1306.0a  sun, h. and weissler, g. l. (1955)
    j. chem. phys. 23, 1160
 lambda=1236a  branching ratio ch2 + h2  gordon, j. r. and ausloos, p. (1967)
    j. chem. phys. 46, 4823. also
    calvert, j. g. and pitts, j. n. (1966)
    photochemistry, john wiley + sons , inc., n. y.  also
    stief, l. j.  donn, b., glicker, s., gentieu, e. p. and mentall, j.
e.(1972)
    astrophys. j. 171, 21.
 lambda=2373.a   from heat of formation (dissociation threshold)
    hayden, c. c., neumark, d. m., shobatake, k., sparks, r. k., and
    lee, y. t. (1982)
    j. chem. phys. 76, 3607

      1.00  0.00e 00
    769.30  0.00e 00
    773.00  6.89e-03
    796.70  5.45e-02
    806.00  6.13e-02
    833.00  1.38e-01
    840.00  1.73e-01
    843.80  1.88e-01
    850.60  2.15e-01
    858.30  2.49e-01
    871.10  3.15e-01
    875.50  3.23e-01
    878.70  3.56e-01
    883.10  3.56e-01
    887.40  3.79e-01
    906.00  4.59e-01
    916.00  4.99e-01
    919.80  5.14e-01
    932.10  5.72e-01
    945.00  7.00e-01
   1048.00  7.23e-01
   1067.00  7.26e-01
   1215.70  5.00e-01
   1243.30  8.00e-01
   1362.00  8.50e-01
   1513.00  8.50e-01
   2373.00  0.00e 00
   2770.00  0.00e 00
        28      0.00   2770.00 ch4      ch3dh    50 26
 lambda=773.a-1513.a  ditchburn, r. w. (1955)
    proc. roy. soc. london 229a, 44
 lambda=951.9a-1306.0a  sun, h. and weissler, g. l. (1955)
    j. chem. phys. 23, 1160
 lambda=1057.5a and 1236.a  branching ratio ch + h2 + h  gordon, j. r. and
    ausloos, p. (1967)
    j. chem. phys. 46, 4823
lambda=1215.7a  (branching ratio)  slanger, t. (1981)
   planetary atmospheres principal invest. conf. nasa/gsfc, p.xiv-6
 lambda=2770.a  from heats of formation
 lambda=2800.a  threshold for dissoc. into ch3 + h  ditchburn, r. w. (1955)
    proc. roy. soc. london 229a, 44

      1.00  0.00e 00
    769.30  0.00e 00
    773.00  1.36e-03
    796.70  9.43e-03
    806.00  1.05e-02
    833.00  2.43e-02
    840.00  3.06e-02
    843.80  3.31e-02
    850.60  3.77e-02
    858.30  4.44e-02
    871.10  5.42e-02
    875.50  5.79e-02
    878.70  6.29e-02
    883.10  6.33e-02
    887.40  6.54e-02
    906.00  8.10e-02
    916.00  8.90e-02
    919.80  9.00e-02
    932.10  1.00e-01
    945.00  1.25e-01
   1048.00  8.70e-02
   1067.00  8.60e-02
   1215.70  2.00e-02
   1243.30  3.00e-02
   1362.00  1.50e-01
   1513.00  1.50e-01
   2373.00  1.00e+00
   2770.00  1.00e+00
        10      0.00   1322.00 ch4      ch2dhdh     26

      1.00  0.00e 00
    769.30  0.00e 00
    773.00  2.00e-03
    796.00  8.00e-03
   1048.00  7.00e-03
   1067.00  6.00e-03
   1215.70  4.00e-01
   1236.00  1.10e-01
   1322.00  0.00e 00
   2770.00  0.00e 00
        36      0.00    945.00 ch4      ch4i     40  2
 lambda=23.6a-250.a  lukirskii, a. p., brytov, i. a. and zimkina, t. m. (1964)
    opt. spektr. (engl. trans.) 17, 234
 lambda=278.a-932.1a  ditchburn, r. w. (1955)
    proc. roy. soc. london 229a, 44
lambda=304.a-875.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22,283(1976)

      1.00  2.00e-01
    304.00  3.59e-01
    379.00  4.22e-01
    405.00  4.36e-01
    446.00  4.58e-01
    460.00  4.60e-01
    490.00  4.64e-01
    516.00  4.63e-01
    537.00  4.62e-01
    545.00  4.60e-01
    584.00  4.56e-01
    629.30  4.60e-01
    685.80  4.69e-01
    740.00  4.76e-01
    769.30  4.79e-01
    773.00  4.74e-01
    796.70  4.66e-01
    806.00  4.79e-01
    827.00  4.69e-01
    833.00  4.78e-01
    840.00  4.73e-01
    843.80  4.73e-01
    850.60  4.71e-01
    858.30  4.61e-01
    860.00  4.58e-01
    871.10  5.32e-01
    875.50  5.36e-01
    878.70  4.90e-01
    883.10  4.90e-01
    887.40  4.60e-01
    906.00  3.47e-01
    916.00  2.90e-01
    919.80  2.71e-01
    932.10  1.91e-01
    945.00  0.00e 00
   2770.00  0.00e 00
        27      0.00    866.00 ch4      ch3ih    40 40
lambda=304.a-875.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22,283(1976)

      1.00  2.00e-01
    304.0   3.51e-01
    379.0   4.22e-01
    405.0   4.35e-01
    446.0   4.58e-01
    460.0   4.65e-01
    490.0   4.78e-01
    516.0   4.83e-01
    537.0   4.87e-01
    545.00  4.93e-01
    584.00  5.00e-01
    629.30  5.00e-01
    685.80  4.97e-01
    740.0   4.95e-01
    769.3   4.93e-01
    773.0   4.88e-01
    796.7   4.42e-01
    806.0   4.22e-01
    827.0   3.54e-01
    833.0   3.21e-01
    840.0   2.76e-01
    843.8   2.55e-01
    850.6   2.19e-01
    858.3   1.80e-01
    860.0   1.72e-01
    871.1   0.00e 00
   2770.0   0.00
        20      0.00    822.00 ch4      ch2ih2   41 40
lambda=304.a-875.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22,283(1976)

      1.00  2.00e-01
    304.0   1.46e-01
    379.0   8.80e-02
    405.0   8.00e-02
    446.0   6.40e-02
    460.0   5.80e-02
    490.0   4.80e-02
    516.0   4.50e-02
    537.0   4.35e-02
    545.00  4.20e-02
    584.00  4.10e-02
    629.30  3.80e-02
    685.80  3.40e-02
    740.0   2.90e-02
    769.3   2.80e-02
    773.0   2.77e-02
    796.7   1.26e-02
    806.0   1.01e-02
    827.0   0.00e 00
   2770.0   0.00
        13      0.00    630.00 ch4      chih2dh  42 40
lambda=304.a-875.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22,283(1976)

      1.00  2.00e-01
    304.0   3.70e-02
    379.0   2.10e-02
    405.0   1.80e-02
    446.0   1.04e-02
    460.0   8.00e-03
    490.0   4.00e-03
    516.0   4.00e-03
    537.00  3.00e-03
    545.00  2.00e-03
    584.00  1.00e-03
    629.30  0.00e 00
   2770.00  0.00e 00
        14      0.00    686.00 ch4      hich3    43 40
lambda=304.a-875.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry and ion phys. 22,283(1976)

      1.00  2.00e-01
    304.0   1.07e-01
    379.0   4.70e-02
    405.0   3.10e-02
    446.0   9.60e-03
    460.0   9.00e-03
    490.0   6.00e-03
    516.0   5.00e-03
    537.0   4.50e-03
    545.00  3.00e-03
    584.00  2.00e-03
    629.30  2.00e-03
    685.80  0.00e 00
   2770.00  0.00e 00
         0      0.00   1370.00 ch4      chdh2dh  52 26
***
